Player,Stat,Line,Season_Avg,L5_Avg,Formula,Expected,Std_Dev,Deviation,Z_Score,Recommendation,Confidence,Bookmaker,Over_Odds,Under_Odds
John Collins,PTS,7.5,18.95,24.4,(18.95 × 0.5) + (24.4 × 0.5) = 21.67,21.67,4.91,-14.17,-2.88,UNDER,High,fanatics,105,-140
James Harden,FG3M,7.5,2.97,3.2,(2.97 × 0.5) + (3.2 × 0.5) = 3.09,3.09,1.66,4.41,2.65,OVER,High,fanduel,102,-136
James Harden,PTS,46.5,22.81,29.4,(22.81 × 0.5) + (29.4 × 0.5) = 26.11,26.11,7.86,20.39,2.6,OVER,High,fanduel,-118,-112
Ryan Rollins,PTS,17.5,6.23,8.6,(6.23 × 0.5) + (8.6 × 0.5) = 7.42,7.42,5.56,10.08,1.81,OVER,High,bovada,-245,180
Nickeil Alexander-Walker,PTS,16.5,9.43,8.0,(9.43 × 0.5) + (8.0 × 0.5) = 8.71,8.71,5.35,7.79,1.46,OVER,High,bovada,-240,175
Ryan Rollins,FG3M,2.5,0.88,1.0,(0.88 × 0.5) + (1.0 × 0.5) = 0.94,0.94,1.08,1.56,1.45,OVER,High,fanduel,-112,-118
Kyshawn George,AST,4.5,2.49,1.8,(2.49 × 0.5) + (1.8 × 0.5) = 2.14,2.14,1.77,2.36,1.33,OVER,High,fanduel,-120,-110
Ryan Rollins,AST,5.5,1.86,4.4,(1.86 × 0.5) + (4.4 × 0.5) = 3.13,3.13,1.86,2.37,1.27,OVER,High,bovada,-280,205
Collin Sexton,PTS,12.5,18.4,21.4,(18.4 × 0.5) + (21.4 × 0.5) = 19.9,19.9,5.86,-7.4,-1.26,UNDER,High,williamhill_us,105,-139
Jaden Ivey,PTS,11.5,17.6,19.2,(17.6 × 0.5) + (19.2 × 0.5) = 18.4,18.4,5.49,-6.9,-1.26,UNDER,High,bovada,180,215
Brandon Miller,FG3M,1.5,3.85,3.8,(3.85 × 0.5) + (3.8 × 0.5) = 3.83,3.83,1.94,-2.33,-1.2,UNDER,High,fanduel,-140,106
Landry Shamet,AST,1.5,0.54,0.4,(0.54 × 0.5) + (0.4 × 0.5) = 0.47,0.47,0.86,1.03,1.19,OVER,High,fanatics,135,-210
Brook Lopez,PTS,5.5,13.01,13.0,(13.01 × 0.5) + (13.0 × 0.5) = 13.01,13.01,6.49,-7.51,-1.16,UNDER,High,draftkings,100,-130
John Collins,REB,4.5,8.18,7.8,(8.18 × 0.5) + (7.8 × 0.5) = 7.99,7.99,3.0,-3.49,-1.16,UNDER,High,fanduel,-128,-104
Jalen Johnson,AST,6.5,5.03,2.6,(5.03 × 0.5) + (2.6 × 0.5) = 3.81,3.81,2.35,2.69,1.14,OVER,High,fanduel,-158,118
Cameron Johnson,AST,2.5,3.4,6.0,(3.4 × 0.5) + (6.0 × 0.5) = 4.7,4.7,1.94,-2.2,-1.14,UNDER,High,fanduel,-102,-130
Jalen Duren,AST,1.5,2.68,4.2,(2.68 × 0.5) + (4.2 × 0.5) = 3.44,3.44,1.8,-1.94,-1.08,UNDER,High,fanatics,-150,115
Cam Spencer,REB,2.5,1.2,0.6,(1.2 × 0.5) + (0.6 × 0.5) = 0.9,0.9,1.53,1.6,1.05,OVER,High,fanatics,125,-175
Brook Lopez,REB,2.5,5.01,5.4,(5.01 × 0.5) + (5.4 × 0.5) = 5.21,5.21,2.6,-2.71,-1.04,UNDER,High,williamhill_us,142,-193
Cam Spencer,AST,3.5,1.36,1.8,(1.36 × 0.5) + (1.8 × 0.5) = 1.58,1.58,1.85,1.92,1.04,OVER,High,fanatics,-130,100
James Harden,AST,6.5,8.7,11.2,(8.7 × 0.5) + (11.2 × 0.5) = 9.95,9.95,3.35,-3.45,-1.03,UNDER,High,fanatics,115,-150
James Harden,REB,3.5,5.77,7.4,(5.77 × 0.5) + (7.4 × 0.5) = 6.59,6.59,3.0,-3.09,-1.03,UNDER,High,fanduel,-146,110
LaMelo Ball,AST,5.5,7.36,9.6,(7.36 × 0.5) + (9.6 × 0.5) = 8.48,8.48,2.96,-2.98,-1.01,UNDER,High,fanduel,108,-144
Ivica Zubac,AST,1.5,2.68,4.0,(2.68 × 0.5) + (4.0 × 0.5) = 3.34,3.34,1.85,-1.84,-0.99,UNDER,Medium,williamhill_us,135,-182
Max Christie,FG3M,2.5,1.47,1.2,(1.47 × 0.5) + (1.2 × 0.5) = 1.34,1.34,1.18,1.16,0.98,OVER,Medium,fanduel,122,-162
Caris LeVert,FG3M,0.5,1.66,2.0,(1.66 × 0.5) + (2.0 × 0.5) = 1.83,1.83,1.41,-1.33,-0.95,UNDER,Medium,fanatics,-225,140
Brandon Williams,REB,3.5,1.76,2.0,(1.76 × 0.5) + (2.0 × 0.5) = 1.88,1.88,1.71,1.62,0.95,OVER,Medium,fanduel,116,-154
Gary Trent Jr.,AST,2.5,1.18,1.8,(1.18 × 0.5) + (1.8 × 0.5) = 1.49,1.49,1.08,1.01,0.94,OVER,Medium,betonlineag,158,-208
Zach LaVine,FG3M,2.5,3.23,5.4,(3.23 × 0.5) + (5.4 × 0.5) = 4.31,4.31,1.93,-1.81,-0.94,UNDER,Medium,fanduel,-128,-104
Jordan Clarkson,AST,1.5,3.73,2.8,(3.73 × 0.5) + (2.8 × 0.5) = 3.26,3.26,1.9,-1.76,-0.93,UNDER,Medium,fanatics,-175,125
Kyshawn George,REB,5.5,4.19,3.0,(4.19 × 0.5) + (3.0 × 0.5) = 3.6,3.6,2.05,1.9,0.93,OVER,Medium,fanatics,-140,105
John Collins,FG3M,0.5,1.48,1.8,(1.48 × 0.5) + (1.8 × 0.5) = 1.64,1.64,1.26,-1.14,-0.9,UNDER,Medium,draftkings,150,-195
Jaden Ivey,FG3M,1.5,2.1,3.2,(2.1 × 0.5) + (3.2 × 0.5) = 2.65,2.65,1.3,-1.15,-0.89,UNDER,Medium,fanduel,116,-154
Miles McBride,AST,1.5,2.92,3.6,(2.92 × 0.5) + (3.6 × 0.5) = 3.26,3.26,2.01,-1.76,-0.88,UNDER,Medium,fanatics,-130,100
Jose Alvarado,PTS,8.5,10.34,17.6,(10.34 × 0.5) + (17.6 × 0.5) = 13.97,13.97,6.25,-5.47,-0.88,UNDER,Medium,fanduel,102,-136
Jordan Clarkson,REB,1.5,3.19,3.0,(3.19 × 0.5) + (3.0 × 0.5) = 3.09,3.09,1.88,-1.59,-0.85,UNDER,Medium,fanatics,-130,100
Jose Alvarado,AST,2.5,4.62,4.6,(4.62 × 0.5) + (4.6 × 0.5) = 4.61,4.61,2.48,-2.11,-0.85,UNDER,Medium,fanduel,-148,112
Nickeil Alexander-Walker,FG3M,2.5,1.72,1.0,(1.72 × 0.5) + (1.0 × 0.5) = 1.36,1.36,1.35,1.14,0.84,OVER,Medium,fanduel,108,-144
Brook Lopez,FG3M,0.5,1.74,1.4,(1.74 × 0.5) + (1.4 × 0.5) = 1.57,1.57,1.28,-1.07,-0.83,UNDER,Medium,draftkings,100,-130
John Konchar,PTS,4.5,2.43,2.0,(2.43 × 0.5) + (2.0 × 0.5) = 2.22,2.22,2.79,2.28,0.82,OVER,Medium,fanatics,100,-130
Drew Eubanks,PTS,7.5,4.59,4.0,(4.59 × 0.5) + (4.0 × 0.5) = 4.3,4.3,3.92,3.2,0.82,OVER,Medium,betmgm,-110,-120
Precious Achiuwa,FG3M,0.5,0.18,0.2,(0.18 × 0.5) + (0.2 × 0.5) = 0.19,0.19,0.38,0.31,0.81,OVER,Medium,fanatics,240,-425
Brandon Williams,AST,4.5,2.3,3.0,(2.3 × 0.5) + (3.0 × 0.5) = 2.65,2.65,2.32,1.85,0.8,OVER,Medium,fanduel,-136,102
Kyshawn George,PTS,12.5,8.68,7.6,(8.68 × 0.5) + (7.6 × 0.5) = 8.14,8.14,5.54,4.36,0.79,OVER,Medium,bovada,-250,185
